"","date","dayno","beepno","beeptime","resptime_s","resptime_e","time_norm"
"1","13/08/12",226,1,"08:58","08:58:56","09:00:15",0
"2","14/08/12",227,5,"14:32","14:32:09","14:33:25",0.00516487419717359
"3","14/08/12",227,6,"16:17","16:17:13","16:23:16",0.00547057419193301
"4","14/08/12",227,8,"18:04","18:04:10","18:06:29",0.00578209704373548
"5","14/08/12",227,9,"20:57","20:58:23","21:00:18",0.00628577417795816
"6","14/08/12",227,10,"21:54","21:54:15","21:56:05",0.0064517256036847
"7","15/08/12",228,2,"10:03","10:03:13","10:04:49",0.00857415699587159
"8","15/08/12",228,3,"10:43","10:43:24","10:45:09",0.00869061413673233
"9","15/08/12",228,4,"12:44","12:45:09","12:46:32",0.00904289698783605
"10","15/08/12",228,5,"14:09","14:09:46","14:11:32",0.00929036841216511
"11","15/08/12",228,6,"16:18","16:18:56","16:20:08",0.00966594269144098
"12","15/08/12",228,7,"17:14","17:15:53","17:17:14",0.00982898268864601
"13","15/08/12",228,8,"18:26","18:26:28","18:27:43",0.0100386055421953
"14","15/08/12",228,9,"19:55","19:55:59","19:57:38",0.0102977226806105
"15","15/08/12",228,10,"21:34","21:35:17","21:38:30",0.0105859541042408
"16","16/08/12",229,2,"09:10","09:10:59","09:12:55",0.0126123083552176
"17","16/08/12",229,3,"11:07","11:07:47","11:09:27",0.0129529454922352
"18","16/08/12",229,10,"22:04","22:04:25","22:05:38",0.0148657540308728
"19","17/08/12",230,1,"07:36","07:36:40","07:40:44",0.0165310911451813
"20","17/08/12",230,2,"09:38","09:39:47","09:41:26",0.0168862854248065
"21","17/08/12",230,3,"11:22","11:23:53","11:26:20",0.0171890739910444
"22","17/08/12",230,5,"14:46","14:46:29","14:47:46",0.0177830054094342
"23","17/08/12",230,6,"16:27","16:27:39","16:29:00",0.0180770596901075
"24","17/08/12",230,7,"16:58","16:59:02","17:00:50",0.0181673139742746
"25","17/08/12",230,8,"18:00","18:00:49","18:03:05",0.0183478225426088
"26","17/08/12",230,9,"19:38","19:38:46","19:40:15",0.0186331425377176
"27","17/08/12",230,10,"21:16","21:16:07","21:17:43",0.0189184625328264
"28","18/08/12",231,1,"08:40","08:43:25","08:44:45",0.0209098796415449
"29","18/08/12",231,2,"09:42","09:42:46","09:44:14",0.0210903882098791
"30","18/08/12",231,6,"16:26","16:26:48","16:28:42",0.0222666053325725
"31","18/08/12",231,8,"18:58","18:58:58","19:00:21",0.0227091424678433
"32","18/08/12",231,9,"20:38","20:39:27","20:41:02",0.0230002853199951
"33","18/08/12",231,10,"21:52","21:52:10","21:54:31",0.0232157310305875
"34","19/08/12",232,2,"09:44","09:44:40","09:47:20",0.0252886681379085
"35","19/08/12",232,4,"12:13","12:13:25","12:16:16",0.0257224709876148
"36","19/08/12",232,5,"14:43","14:43:21","14:45:35",0.0261591852658425
"37","19/08/12",232,6,"16:04","16:04:32","16:06:15",0.0263950109760855
"38","19/08/12",232,7,"17:28","17:30:28","17:31:40",0.0266395709718931
"39","19/08/12",232,8,"18:15","18:15:12","18:17:23",0.0267764081124044
"40","20/08/12",233,4,"12:22","12:22:58","12:24:27",0.0299411309152949
"41","20/08/12",233,6,"16:11","16:11:32","16:13:11",0.0306078480467226
"42","20/08/12",233,9,"20:26","20:27:57","20:29:33",0.0313502623197098
"43","21/08/12",234,1,"08:14","08:15:06","08:16:38",0.0334115537129448
"44","21/08/12",234,3,"10:46","10:46:09","10:47:38",0.0338540908482156
"45","21/08/12",234,4,"12:46","12:46:22","12:47:48",0.0342034622707978
"46","21/08/12",234,5,"14:32","14:32:11","14:33:52",0.0345120736940787
"47","21/08/12",234,6,"16:17","16:17:12","16:18:35",0.0348177736888382
"48","21/08/12",234,7,"17:02","17:02:49","17:04:06",0.0349487879723065
"49","21/08/12",234,9,"20:57","20:57:17","20:58:26",0.0356329736748633
"50","21/08/12",234,10,"21:54","21:54:07","21:55:17",0.0357989251005899
"51","22/08/12",235,1,"08:54","08:54:11","08:55:53",0.037720467924792
"52","22/08/12",235,2,"10:03","10:03:47","10:05:13",0.0379213564927767
"53","22/08/12",235,3,"10:43","10:44:58","10:46:26",0.0380378136336375
"54","22/08/12",235,4,"12:44","12:44:39","12:45:59",0.0383900964847412
"55","22/08/12",235,5,"14:09","14:10:05","14:11:26",0.0386375679090703
"56","22/08/12",235,6,"16:18","16:19:43","16:21:16",0.0390131421883461
"57","22/08/12",235,7,"17:14","17:14:47","17:16:12",0.0391761821855512
"58","22/08/12",235,8,"18:26","18:26:48","18:28:33",0.0393858050391005
"59","22/08/12",235,10,"21:34","21:36:35","21:38:11",0.0399331536011459
"60","23/08/12",236,2,"09:10","09:10:47","09:12:13",0.0419595078521227
"61","23/08/12",236,3,"11:07","11:07:26","11:08:38",0.0423001449891404
"62","23/08/12",236,4,"12:40","12:40:12","12:41:42",0.0425709078416416
"63","23/08/12",236,5,"14:08","14:08:11","14:09:29",0.0428271135515352
"64","23/08/12",236,7,"17:32","17:34:08","17:35:39",0.0434210449699249
"65","23/08/12",236,9,"19:49","19:49:33","19:50:52",0.043819910677373
"66","23/08/12",236,10,"22:04","22:04:10","22:05:48",0.0442129535277779
"67","24/08/12",237,1,"07:36","07:36:27","07:40:20",0.0458782906420864
"68","24/08/12",237,2,"09:38","09:38:49","09:41:57",0.0462334849217117
"69","24/08/12",237,3,"11:22","11:22:46","11:24:10",0.0465362734879496
"70","24/08/12",237,4,"13:08","13:08:39","13:10:21",0.0468448849112305
"71","24/08/12",237,5,"14:46","14:47:41","14:49:31",0.0471302049063393
"72","25/08/12",238,1,"08:40","08:40:17","08:41:42",0.0502570791384501
"73","25/08/12",238,4,"13:21","13:22:21","13:24:26",0.0510751905529967
"74","25/08/12",238,7,"17:20","17:21:38","17:23:08",0.0517710219696396
"75","26/08/12",239,1,"08:13","08:13:23","08:15:36",0.0543709276393555
"76","26/08/12",239,2,"09:44","09:44:36","09:46:11",0.0546358676348137
"77","26/08/12",239,4,"12:13","12:13:27","12:14:52",0.0550696704845199
"78","26/08/12",239,5,"14:43","14:44:50","14:46:23",0.0555063847627477
"79","26/08/12",239,7,"17:28","17:28:18","17:29:51",0.0559867704687982
"80","26/08/12",239,9,"20:17","20:18:22","20:21:14",0.0564788018889348
"81","26/08/12",239,10,"21:43","21:43:14","21:48:59",0.0567291847417854
"82","27/08/12",240,1,"08:52","08:56:28","08:57:53",0.0586769304226812
"83","27/08/12",240,2,"09:54","09:54:18","09:55:55",0.0588574389910153
"84","27/08/12",240,3,"10:56","10:56:42","10:58:08",0.0590379475593495
"85","27/08/12",240,4,"12:22","12:23:01","12:24:17",0.0592883304122001
"86","27/08/12",240,6,"16:11","16:12:04","16:13:32",0.0599550475436278
"87","27/08/12",240,8,"18:34","18:34:12","18:35:37",0.0603713818222049
"88","27/08/12",240,10,"21:36","21:37:03","21:38:32",0.0609012618131212
"89","28/08/12",241,1,"08:14","08:15:23","08:17:30",0.0627587532098499
"90","28/08/12",241,2,"10:00","10:00:27","10:03:28",0.0630673646331309
"91","28/08/12",241,3,"10:46","10:46:20","10:47:36",0.0632012903451207
"92","28/08/12",241,4,"12:46","12:47:50","12:49:34",0.0635506617677029
"93","28/08/12",241,5,"14:32","14:33:26","14:34:59",0.0638592731909839
"94","28/08/12",241,7,"17:02","17:02:47","17:04:19",0.0642959874692116
"95","28/08/12",241,10,"21:54","21:54:11","21:56:10",0.065146124597495
"96","29/08/12",242,1,"08:54","08:55:41","08:57:10",0.0670676674216971
"97","29/08/12",242,2,"10:03","10:03:12","10:04:37",0.0672685559896819
"98","29/08/12",242,3,"10:43","10:43:13","10:44:40",0.0673850131305426
"99","29/08/12",242,4,"12:44","12:44:30","12:46:02",0.0677372959816464
"100","29/08/12",242,5,"14:09","14:10:19","14:11:42",0.0679847674059754
